X(CxHxW=3x4x4) (size=48)
0 -0.4
1 0.7040385799
2 1.685719779
3 2.439246714
4 2.889702111
5 2.003188007
6 1.791413681
7 1.310110854
8 0.6514906697
9 -0.06823665886
10 -1.724590352
11 -2.201666955
12 -2.407827326
13 -2.288099564
14 -1.831619199
15 -2.073099643
16 -1.0881339
17 0.01703660019
18 1.119901276
19 2.09826163
20 1.84677024
21 2.291189037
22 2.398437085
23 2.181067925
24 1.695570515
25 0.03472371345
26 -0.6849609031
27 -1.339008337
28 -1.811827273
29 -2.012354826
30 -2.886381471
31 -2.423888047
32 -1.660401809
33 -0.6721879752
34 0.4340724092
35 0.5357212529
36 1.510724615
37 2.254189425
38 2.692560272
39 2.793574779
40 1.570630168
41 1.080970009
42 0.4179365687
43 -0.3016626259
44 -0.9533641374
45 -2.421894162
46 -2.616770297
47 -2.484547909

W(MxCxkHxkW=2x3x3x3) (size=54)
0 1.65
1 1.724838976
2 1.65563277
3 1.010687785
4 0.7188111529
5 0.3669049849
6 -0.4531154063
7 -0.7978219482
8 -1.075900585
9 -1.701601507
10 -1.747724697
11 -1.647891468
12 -1.847912278
13 -1.456136616
14 -0.94275571
15 -0.7881163171
16 -0.1301863955
17 0.5386156848
18 0.7249635953
19 1.288241328
20 1.74393513
21 1.616515825
22 1.791570811
23 1.817007689
24 1.253229005
25 1.022263512
26 0.7059264936
27 -0.1068371964
28 -0.4732055093
29 -0.8000553658
30 -1.497563962
31 -1.632534461
32 -1.631168336
33 -1.931052837
34 -1.632197611
35 -1.197033891
36 -1.099376341
37 -0.472434238
38 0.1939619107
39 0.4066867013
40 1.022921334
41 1.553729505
42 1.517309068
43 1.791647901
44 1.916362189
45 1.443563598
46 1.287682926
47 1.024264958
48 0.237835157
49 -0.1309836304
50 -0.4888636802
51 -1.243390787
52 -1.456606371
53 -1.54817748

Bias(M=2) (size=2)
0 0.35
1 -0.22

